name,type,url
ต้มยำปลาทูเผ็ดกลาง,Medium,https://www.unileverfoodsolutions.co.th/dam/global-ufs/mcos/SEA/calcmenu/recipes/TH-recipes/fish-&-other-seafood-dishes/%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%97%E0%B8%B9/%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%97%E0%B8%B9_header.jpg
ผัดเผ็ดหมูกรอบเผ็ดกลาง,Medium,https://reds4families.com/wp-content/uploads/2023/05/cooking-1-1024x576.jpg
แกงเผ็ดปลาดุกเผ็ดกลาง,Medium,https://s359.kapook.com/r/600/auto/pagebuilder/65675b48-0c7f-40de-9864-f7970a0fb00d.jpg
ต้มยำเห็ดเผ็ดกลาง,Medium,https://huasenghong.co.th/wp-content/uploads/2019/03/%E0%B9%80%E0%B8%88-%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3%E0%B9%80%E0%B8%AB%E0%B9%87%E0%B8%94.png
แกงเผ็ดหมูเผ็ดกลาง,Medium,https://img.wongnai.com/p/1920x0/2019/03/10/e0a3e498f16241a78de86679ed49be3f.jpg
ยำปลากระป๋องเผ็ดกลาง,Medium,https://f.ptcdn.info/171/064/000/ps3e23hr5OpN5lWZGaM-o.jpg
ยำไก่ย่างเผ็ดกลาง,Medium,https://img.wongnai.com/p/1920x0/2020/05/21/d35284e4befe4ace94f5e61c733aaed7.jpg
ยำปลาแซลมอนเผ็ดกลาง,Medium,https://www.gourmetandcuisine.com/Images/cooking/recipes/recipe_723detail.jpg
แกงป่ากุ้งเผ็ดกลาง,Medium,https://img-global.cpcdn.com/recipes/bec60e33ad4bd2a4/680x482cq70/%E0%B8%A3%E0%B8%9B-%E0%B8%AB%E0%B8%A5%E0%B8%81-%E0%B8%82%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%95%E0%B8%A3-%E0%B9%81%E0%B8%81%E0%B8%87%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%87.jpg
ข้าวผัดน้ำพริกนรกเผ็ดกลาง,Medium,https://i.ytimg.com/vi/lCpUyGd-2CI/maxresdefault.jpg
ผัดเผ็ดเนื้อเผ็ดกลาง,Medium,https://i.ytimg.com/vi/gWy__5cVqQQ/maxresdefault.jpg
ต้มแซ่บทะเลเผ็ดกลาง,Medium,https://img.wongnai.com/p/1968x0/2019/07/09/8fe7fe79bd634071883e4139edf8f098.jpg
ผัดเผ็ดปลาหมึกเผ็ดกลาง,Medium,https://i.ytimg.com/vi/1tuPh6zKoRs/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLAfeYu9CXiIrMDvRKyEZFXZGjn20w
แกงคั่วกุ้งเผ็ดกลาง,Medium,https://www.bloggang.com/data/kesornmart/picture/1284863569.jpg
ยำปลาทูเผ็ดกลาง,Medium,https://food.mthai.com/app/uploads/2017/02/Salad-mackerel.jpg
ต้มยำทะเลเผ็ดกลาง,Medium,https://i.ytimg.com/vi/tvt2HgBkGso/maxresdefault.jpg
ผัดกะเพราปลาเผ็ดกลาง,Medium,https://f.ptcdn.info/348/078/000/rhm6xm23q872irVe3nlJ4-o.jpg
ยำหมูสับเผ็ดกลาง,Medium,https://i.ytimg.com/vi/CqE_S_j3dKY/maxresdefault.jpg
แกงไก่ใส่หน่อไม้,Medium,https://i.ytimg.com/vi/51h0PgykOA4/maxresdefault.jpg
ข้าวผัดน้ำพริกปลาทู,Medium,https://www.unileverfoodsolutions.co.th/dam/global-ufs/mcos/SEA/calcmenu/recipes/TH-recipes/rice-dishes/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%9E%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%B0%E0%B8%9B%E0%B8%B4/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%9E%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%B0%E0%B8%9B%E0%B8%B4_header.jpg
